# rocket_logger v3.3 rate=100Hz accel=16G(2048/G) gyro=2000dps(16.4/dps) sound=A1
t_ms,ax,ay,az,gx,gy,gz,snd
10990,-1430,1201,-2298,2240,-7727,-6511,512
11000,-1482,1100,-2203,2517,-7712,-6277,478
11010,-1471,965,-2162,2757,-7689,-6072,488
11020,-1494,741,-2138,3052,-7709,-5837,528
11030,-1484,645,-2051,3327,-7747,-5600,473
11040,-1489,543,-2047,3621,-7784,-5370,165
11051,-1482,441,-1949,3928,-7873,-5125,447
11060,-1471,315,-1884,4181,-7961,-4881,551
11070,-1401,193,-1848,4410,-8089,-4604,24
11080,-1277,194,-2172,4663,-8189,-4287,763
11090,-1256,130,-2001,4857,-8332,-3939,26
11100,-1266,51,-1819,5066,-8377,-3637,763
11110,-1221,-42,-1849,5242,-8539,-3245,763
11120,-1118,-48,-1650,5413,-8662,-2781,763
11130,-912,-51,-1485,5558,-8738,-2282,397
11140,-773,0,-1388,5658,-8741,-1814,268
11150,-617,110,-1329,5739,-8669,-1385,367
11160,-467,174,-1205,5768,-8532,-1046,513
11170,-260,77,-1137,5796,-8314,-704,763
11180,-141,140,-999,5809,-8127,-436,452
11190,24,353,-904,5816,-7841,-280,604
11200,102,451,-891,5807,-7529,-169,484
11210,497,507,-789,5804,-7175,9,351
11220,590,454,-806,5807,-6840,248,763
11230,655,554,-676,5821,-6553,429,763
11240,657,672,-597,5819,-6241,569,301
11250,682,839,-616,5797,-5937,658,209
11260,723,899,-652,5749,-5654,687,528
11270,805,849,-635,5718,-5383,707,237
11280,935,946,-532,5663,-5068,729,376
11290,918,956,-529,5617,-4718,732,727
11300,837,944,-499,5537,-4358,704,558
11310,648,862,-512,5473,-4117,592,511
11320,529,988,-484,5397,-3832,412,426
11330,456,943,-505,5331,-3578,179,545
11340,210,994,-490,5249,-3367,-119,518
11350,130,1118,-511,5160,-3221,-421,718
11360,26,1134,-520,5069,-3088,-766,464
11370,-163,1143,-585,4985,-3012,-1122,389
11380,-263,1147,-678,4906,-2994,-1504,623
11390,-451,1133,-732,4817,-3041,-1899,611
11400,-575,1170,-814,4737,-3110,-2275,763
11410,-755,1228,-889,4654,-3214,-2691,763
11420,-873,1270,-1001,4585,-3365,-3131,520
11430,-986,1352,-978,4507,-3551,-3564,345
11440,-1121,1418,-1015,4457,-3732,-3951,445
11450,-1265,1519,-1127,4385,-3970,-4372,677
11460,-1337,1527,-1236,4322,-4210,-4751,413
11470,-1478,1657,-1353,4267,-4497,-5125,475
11480,-1549,1641,-1472,4235,-4757,-5409,458
11490,-1623,1623,-1739,4226,-5102,-5663,486
11500,-1661,1570,-1894,4253,-5401,-5868,472
11510,-1764,1539,-2080,4287,-5704,-6047,501
11520,-1744,1545,-2141,4332,-5952,-6180,595
11530,-1644,1519,-2256,4413,-6217,-6200,532
11540,-1497,1470,-2396,4516,-6449,-6064,576
11550,-1358,1399,-2542,4646,-6645,-5864,535
11560,-1340,1326,-2622,4786,-6745,-5637,526
11570,-1246,1153,-2567,4940,-6786,-5419,486
11580,-1215,1021,-2550,5097,-6852,-5099,510
